Data,Pontuação média,Qualidade média,Duração média,Necessidade média de sono,Hora de dormir média,Hora de acordar média
Mar 12-18,78,Razoável,7h 32min,8h 39min,10:41 PM,6:18 AM
Mar 5-11,74,Razoável,7h 24min,8h 33min,10:48 PM,6:24 AM
Fev 26 - Mar 4,78,Razoável,8h 12min,8h 19min,12:21 AM,8:50 AM
Fev 19-25,78,Razoável,8h 42min,7h 53min,10:59 PM,7:58 AM
Fev 12-18,78,Razoável,9h 12min,7h 37min,10:40 PM,8:03 AM
Fev 5-11,80,Bom,8h 3min,8h 3min,10:26 PM,6:44 AM
Jan 29 - Fev 4,76,Razoável,8h 28min,8h 3min,10:34 PM,7:24 AM
Jan 22-28,76,Razoável,8h 16min,7h 57min,11:21 PM,7:46 AM
Jan 15-21,74,Razoável,7h 44min,8h 0min,12:15 AM,8:04 AM
Jan 8-14,81,Bom,7h 12min,7h 47min,11:05 PM,6:19 AM
Jan 1-7,71,Razoável,6h 46min,8h 3min,12:31 AM,7:24 AM
Dez 25-31, 2025,62,Razoável,6h 36min,8h 37min,1:18 AM,8:03 AM
Dez 18-24, 2025,76,Razoável,7h 47min,7h 46min,11:40 PM,7:38 AM
Dez 11-17, 2025,78,Razoável,7h 58min,8h 3min,1:06 AM,9:13 AM
Dez 4-10, 2025,79,Razoável,7h 38min,7h 54min,11:08 PM,7:05 AM
Nov 27 - Dez 3, 2025,57,Fraco,6h 21min,8h 24min,11:40 PM,6:31 AM
Nov 20-26, 2025,81,Bom,8h 6min,8h 0min,11:27 PM,7:43 AM
Nov 13-19, 2025,70,Razoável,6h 51min,8h 10min,3:00 AM,9:54 AM
Nov 6-12, 2025,77,Razoável,7h 43min,7h 54min,11:45 PM,7:31 AM
Out 30 - Nov 5, 2025,72,Razoável,7h 28min,8h 3min,11:45 PM,7:29 AM
Out 23-29, 2025,77,Razoável,7h 57min,7h 57min,11:40 PM,7:45 AM
Out 16-22, 2025,79,Razoável,8h 21min,7h 44min,11:41 PM,8:10 AM
Out 9-15, 2025,73,Razoável,7h 42min,7h 47min,11:52 PM,7:43 AM
Out 2-8, 2025,72,Razoável,8h 30min,8h 0min,11:45 PM,8:41 AM
Set 25 - Out 1, 2025,73,Razoável,8h 13min,7h 53min,11:31 PM,7:55 AM
Set 18-24, 2025,82,Bom,8h 16min,7h 41min,11:48 PM,8:10 AM
Set 11-17, 2025,69,Razoável,8h 5min,7h 49min,11:27 PM,7:53 AM
Set 4-10, 2025,81,Bom,8h 11min,7h 59min,11:15 PM,7:37 AM
Ago 28 - Set 3, 2025,78,Razoável,8h 54min,7h 43min,10:39 PM,7:48 AM
Ago 21-27, 2025,70,Razoável,7h 35min,8h 0min,11:32 PM,7:14 AM
Ago 14-20, 2025,48,Fraco,5h 24min,8h 17min,1:29 AM,7:14 AM
Ago 7-13, 2025,73,Razoável,8h 6min,8h 17min,12:00 AM,8:16 AM
Jul 31 - Ago 6, 2025,76,Razoável,8h 5min,7h 44min,11:12 PM,7:35 AM
Jul 24-30, 2025,82,Bom,8h 16min,7h 49min,11:30 PM,7:55 AM
Jul 17-23, 2025,77,Razoável,8h 16min,8h 4min,11:02 PM,7:27 AM
Jul 10-16, 2025,73,Razoável,8h 15min,8h 3min,11:52 PM,8:16 AM
Jul 3-9, 2025,80,Bom,8h 57min,7h 53min,11:16 PM,8:21 AM
Jun 26 - Jul 2, 2025,74,Razoável,8h 18min,7h 56min,12:03 AM,8:32 AM
Jun 19-25, 2025,79,Razoável,8h 18min,8h 4min,12:08 AM,8:32 AM
Jun 12-18, 2025,68,Razoável,7h 19min,8h 13min,1:11 AM,8:43 AM
Jun 5-11, 2025,82,Bom,8h 28min,7h 58min,11:17 PM,7:51 AM
Mai 29 - Jun 4, 2025,75,Razoável,6h 55min,7h 53min,11:34 PM,6:32 AM
Mai 22-28, 2025,78,Razoável,7h 51min,8h 10min,10:40 PM,6:43 AM
Mai 15-21, 2025,76,Razoável,7h 43min,8h 3min,11:46 PM,7:36 AM
Mai 8-14, 2025,75,Razoável,7h 54min,8h 6min,12:11 AM,8:11 AM
Mai 1-7, 2025,73,Razoável,8h 1min,8h 10min,11:27 PM,7:41 AM
Abr 24-30, 2025,75,Razoável,8h 31min,7h 51min,11:09 PM,7:56 AM
Abr 17-23, 2025,72,Razoável,7h 35min,8h 0min,1:56 AM,9:41 AM
Abr 10-16, 2025,84,Bom,8h 12min,7h 53min,12:08 AM,8:29 AM
Abr 3-9, 2025,84,Bom,7h 50min,7h 59min,11:12 PM,7:09 AM
Mar 27 - Abr 2, 2025,80,Bom,7h 29min,8h 3min,11:13 PM,6:49 AM
Mar 20-26, 2025,77,Razoável,7h 23min,8h 11min,11:10 PM,6:43 AM
